dummy_y,comp,rating,RR,2.50%,97.50%
3,tracker,sda_da,0.2115319307,0.1702313232,0.2571500953
2,tracker,n,0.6153590624,0.4879302572,0.7829659718
1,tracker,a_sa,2.929257328,2.518265422,3.36662994
3,convo,sda_da,0.5476355238,0.4253000267,0.690470228
2,convo,n,0.6772441921,0.5228175442,0.8610926044
1,convo,a_sa,1.25023149,1.15531032,1.355891986
3,reviewer,sda_da,1,1,1
2,reviewer,n,1,1,1
1,reviewer,a_sa,1,1,1
