dummy_y,comp,rating,RR,2.50%,97.50%
3,reviewer,sda_da,4.809778129,3.837753093,5.936957211
2,reviewer,n,1.644359182,1.283592817,2.103162558
1,reviewer,a_sa,0.3442515062,0.2952126504,0.3993835574
3,convo,sda_da,2.573226765,2.123490913,3.085715914
2,convo,n,1.105544673,0.8673324142,1.398148076
1,convo,a_sa,0.4305353398,0.3669335046,0.5029931928
3,tracker,sda_da,1,1,1
2,tracker,n,1,1,1
1,tracker,a_sa,1,1,1
