dummy_y,comp,rating,RR,2.50%,97.50%
3,reviewer,sda_da,0.268242111,0.2269562642,0.3141500196
2,reviewer,n,1.935356521,1.520853268,2.488812425
1,reviewer,a_sa,7.260160679,5.554668661,9.37820667
3,convo,sda_da,0.559171828,0.4641230069,0.6696744588
2,convo,n,0.8661315683,0.6974253853,1.053065739
1,convo,a_sa,1.545110184,1.344924871,1.751337872
3,tracker,sda_da,1,1,1
2,tracker,n,1,1,1
1,tracker,a_sa,1,1,1
