primary_reporting,article_length,ev_sda,ev_da,ev_n,ev_a,ev_sa,lower_sda,lower_da,lower_n,lower_a,lower_sa,upper_sda,upper_da,upper_n,upper_a,upper_sa
1,900,0.001821518824,0.01110134962,0.03152743133,0.1262850802,0.82926462,0.001178099912,0.008170416561,0.0234108806,0.1033055952,0.7964128065,0.002640356903,0.014690712,0.04158634703,0.1527682347,0.8578128326
0,900,0.01554242555,0.08646101964,0.1831360191,0.3529416226,0.3619189131,0.01089454426,0.06382003098,0.1432654094,0.3074215912,0.2983560346,0.0218048117,0.1125986864,0.2268144115,0.3986639514,0.4317870555
1,901,0.001853275868,0.01131505732,0.0317531217,0.1283343607,0.8267441844,0.001107421674,0.00802399578,0.02356829246,0.1046034845,0.7907623812,0.00280866365,0.01555674517,0.04242029685,0.1544337784,0.8567608204
0,901,0.0157024071,0.08742589284,0.1850889298,0.3536276318,0.3581551385,0.01100833791,0.06469025496,0.1453842624,0.3084186933,0.2878553332,0.021966464,0.1151102942,0.2306616585,0.3976253515,0.4252564746
1,902,0.001884095966,0.01149534591,0.03215105162,0.1292281741,0.8252413324,0.001194336815,0.008182636685,0.02400229367,0.1052245689,0.7878814331,0.00285441331,0.01592201847,0.04352353442,0.1589308545,0.8558048461
0,902,0.01606396828,0.0891558995,0.1871079253,0.3535610072,0.3541111996,0.01109839732,0.06553694534,0.1466183018,0.3096269122,0.2891886892,0.02236520787,0.1168137954,0.232281481,0.3951509326,0.4243112121
1,903,0.001922154323,0.01172238242,0.03287571514,0.1313451077,0.8221346404,0.001213045017,0.008353153264,0.02436777993,0.1076501359,0.7871888561,0.002871000029,0.01605554172,0.04350814579,0.1594305757,0.8526200903
0,903,0.01624933268,0.0903467447,0.1886027046,0.3552559749,0.3495452431,0.01110474938,0.06647928242,0.1473582191,0.3108103878,0.2857489558,0.0230024838,0.1184137895,0.2325287395,0.4015080601,0.4187780247
1,904,0.001955694752,0.01191180902,0.03354457196,0.1330537337,0.8195341906,0.001229964539,0.008454985281,0.02470008453,0.1086723407,0.782056172,0.002910829888,0.01599154309,0.04433726667,0.1612856671,0.8518438612
0,904,0.01643898913,0.09132100111,0.1896819852,0.3547015573,0.3478564673,0.01136596096,0.06664882773,0.1427211689,0.3079074274,0.2835036699,0.02320166577,0.1194877422,0.2343528444,0.3980513753,0.4235985817
1,905,0.002011409368,0.01224377742,0.03419495474,0.1353652768,0.8161845817,0.001303812811,0.00882716021,0.02559548956,0.1107470463,0.782038867,0.003013498404,0.01671013197,0.04488172853,0.1619049938,0.847841517
0,905,0.01676848994,0.09330365278,0.1927311108,0.3548600619,0.3423366846,0.01184406456,0.06836859735,0.150873732,0.3069796861,0.2777777647,0.02302646118,0.1225060381,0.2341890081,0.4007207064,0.4147404528
1,906,0.002042820368,0.01240990311,0.03480173046,0.1369960858,0.8137494602,0.001306618762,0.008737445659,0.02585625815,0.1097039884,0.7753397008,0.003077793111,0.01701462813,0.04483148439,0.1655367724,0.8490370193
0,906,0.01708301012,0.09368019148,0.1960569599,0.3550525221,0.3381273163,0.01175759857,0.0707748086,0.1555152263,0.3072780807,0.2741860885,0.02397737706,0.1194845164,0.2429451027,0.3993066508,0.4052736891
1,907,0.00205856948,0.01259447393,0.03501791965,0.1383065776,0.8120224593,0.001333160692,0.008966310668,0.02629566612,0.1125535131,0.7754207617,0.00305536186,0.01739167128,0.04643730444,0.1686453375,0.844277104
0,907,0.01760900769,0.09586100319,0.1982845383,0.3566072143,0.3316382365,0.01227193812,0.07229962128,0.1568391221,0.3084582201,0.2703631961,0.02412131141,0.1258062345,0.2433993184,0.4023588537,0.3981949588
1,908,0.002126620893,0.01285860891,0.03589565866,0.1413082554,0.8078108562,0.001367515835,0.009044122037,0.02707440086,0.1147291528,0.7722543517,0.003161325408,0.01750340981,0.04712411655,0.1695646182,0.8415362805
0,908,0.01777362451,0.09802329617,0.199317213,0.3550517246,0.3298341417,0.0122435022,0.07332238844,0.1575457857,0.310961772,0.2690600018,0.02439257309,0.1263291851,0.2429225137,0.4007387836,0.3928671919
1,909,0.002133242969,0.01292265381,0.03613955768,0.1423778248,0.8064267208,0.00135886279,0.009369639011,0.02659029275,0.1167009303,0.7714618737,0.003131737994,0.01756607748,0.0470684466,0.1712776404,0.8388408424
0,909,0.01818057167,0.09943138091,0.200727929,0.3551848516,0.3264752669,0.0124888857,0.07396045724,0.1553932227,0.3100920805,0.259819722,0.02539220362,0.1282998689,0.246226538,0.3997450327,0.3967472423
1,910,0.002182552037,0.01328554679,0.03657063849,0.1450623317,0.802898931,0.00137461158,0.009287923302,0.02738637029,0.1190421197,0.7631778033,0.003224442894,0.01839567764,0.04831175634,0.1752712294,0.8347754933
0,910,0.01840889732,0.1007961308,0.2037332317,0.3554291722,0.321632568,0.01304052177,0.07697061063,0.1622150805,0.3096311798,0.262091396,0.02460721513,0.1289763569,0.2506019547,0.4019112873,0.3864366247
1,911,0.002210213026,0.01355889743,0.03746907855,0.1469931782,0.7997686328,0.001457832236,0.009860006656,0.02811753113,0.1204686856,0.7631463126,0.003271471954,0.01824778065,0.04838596131,0.174076725,0.8330850168
0,911,0.01883172205,0.1027136457,0.206198086,0.3543492713,0.3179072749,0.01339178798,0.07680174791,0.1620555104,0.3074149355,0.2528132776,0.02621209321,0.1323827237,0.2542460594,0.3978581945,0.3903635341
1,912,0.0022597071,0.0137276955,0.03818035714,0.1485047155,0.7973275248,0.001464434366,0.009942107066,0.02804835119,0.1226400559,0.7586664249,0.003274118645,0.01851217603,0.05018200282,0.1783312987,0.8298347354
0,912,0.01905601234,0.1039253413,0.2077232414,0.3544790908,0.3148163142,0.01343010256,0.07891686612,0.1631312239,0.3078261122,0.2556757173,0.02630067597,0.1383902026,0.2570153903,0.4005354594,0.3832441176
1,913,0.002318521925,0.01407127207,0.03895875305,0.1509188002,0.7937326527,0.001468000506,0.009948793861,0.02868185117,0.1232187238,0.7559656201,0.003488800846,0.01937949289,0.05121721498,0.1789456743,0.8305401426
0,913,0.01933475729,0.1051936201,0.2093895411,0.3555641093,0.3105179722,0.01370969464,0.08015931544,0.1673750494,0.3116169527,0.2500720242,0.02693609954,0.1343554366,0.2529105631,0.4004316526,0.3728242596
1,914,0.002362720129,0.01435572624,0.04000374248,0.1533927709,0.7898850403,0.001493480626,0.01043086252,0.02987408018,0.125440068,0.7515564137,0.003442155528,0.0193752952,0.05255700911,0.1837932,0.8237697085
0,914,0.01964155606,0.1064873003,0.2105129143,0.3548014242,0.3085568052,0.0139686502,0.07803588652,0.1663468699,0.3080345836,0.2440712591,0.02675598505,0.1398165913,0.2564495995,0.400527957,0.3771850235
1,915,0.002390352338,0.01452788233,0.04019781714,0.1549811725,0.7879027757,0.001529039514,0.01059422755,0.02976120699,0.1271196097,0.7489476477,0.003499124582,0.01963466575,0.0515542595,0.1850318211,0.8234537593
